Name,UTM Easting,UTM Northing,Year
Untitled Placemark,573905.4554478367,4924218.791290147,1978
Untitled Placemark,573857.7433232651,4924146.484140514,1978
Untitled Placemark,573921.1883668865,4924162.012519414,1978
Untitled Placemark,573825.2391211886,4924129.857465765,1978
Untitled Placemark,573768.2565084038,4924113.304127212,1978
Untitled Placemark,573911.09823036,4924381.604333597,1978
Untitled Placemark,573915.346726382,4924338.170283306,1978
Untitled Placemark,573850.1392241637,4924364.960549275,1978
Untitled Placemark,573816.3977245359,4924353.1223959215,1978
Untitled Placemark,573785.0957738974,4924346.638204605,1978
Untitled Placemark,573961.4321491115,4924282.954578838,1978
Untitled Placemark,574003.5253815191,4924254.197098824,1978
Untitled Placemark,574027.608227811,4924263.325214495,1978
Untitled Placemark,574055.0357336544,4924323.504457255,1978
Untitled Placemark,574064.4897552803,4924271.191038829,1978
Untitled Placemark,574090.66356903,4924332.099722947,1978
Untitled Placemark,573858.3759559564,4924316.845204716,1978
Untitled Placemark,573948.1099442458,4924395.047645018,1978
U,574012.8724979613,4924366.201644148,1978
Untitled Placemark,573978.0221876665,4924351.752674771,1978
Untitled Placemark,573838.3693343992,4924090.411834321,1978
Untitled Placemark,573769.4110132775,4924075.700663857,1978
Untitled Placemark,573597.7454761249,4924077.027265893,1978
Untitled Placemark,573703.952966284,4924062.849557793,1978
Untitled Placemark,573579.0966755231,4924157.1182263205,1978
Untitled Placemark,573565.7780642875,4924191.653345466,1978
Untitled Placemark,573601.9414276745,4924039.751804881,1978
Untitled Placemark,574055.9463676705,4925225.074185992,1978
Untitled Placemark,574065.5373683972,4925192.309274816,1978
Untitled Placemark,574076.3456532764,4925169.27433983,1978
Untitled Placemark,574092.6349645426,4925108.57520357,1978
Untitled Placemark,574162.1265451198,4925379.66465803,1978
Untitled Placemark,574171.2075513126,4925327.49964425,1978
Untitled Placemark,574098.5018930058,4925297.549775213,1978
Untitled Placemark,574106.1771785894,4925268.682087348,1978
Untitled Placemark,574113.8255223269,4925235.191779672,1978
Untitled Placemark,574027.4374318273,4925374.183015745,1978
Untitled Placemark,574045.6833254291,4925580.7041962575,1978
Untitled Placemark,573265.2180812366,4924992.6615024675,1978
Untitled Placemark,573271.3693700625,4924955.32785626,1978
Untitled Placemark,573334.4873210889,4925093.600219671,1978
Untitled Placemark,572669.7463620643,4924441.077868564,1978
Untitled Placemark,572706.4380530065,4924502.979233016,1978
Untitled Placemark,572766.737479587,4924512.160654376,1978
Untitled Placemark,572671.3148856872,4924385.959207524,1978
Untitled Placemark,572783.82385958,4924387.516152993,1978
Untitled Placemark,572287.5850046324,4924390.647400392,1978
Untitled Placemark,572410.1291719305,4924285.611924306,1978
Untitled Placemark,572360.6782715461,4924357.347396679,1978
Untitled Placemark,572531.290223867,4924338.471939987,1978
Untitled Placemark,572944.2620180806,4924900.11661028,1978
Untitled Placemark,572724.2396747677,4924360.687060275,1978
Untitled Placemark,572740.093646065,4924365.925723132,1978
Untitled Placemark,572644.4391966499,4924277.436078539,1978
Untitled Placemark,572663.4758965212,4924285.514491472,1978
Untitled Placemark,572682.6037903106,4924286.044542713,1978
Untitled Placemark,572710.2273676436,4924283.928353465,1978
Untitled Placemark,572624.23015265,4924328.122335468,1978
Untitled Placemark,572555.7547160807,4924232.468841163,1978
Untitled Placemark,572547.8817036327,4924257.4232523525,1978
Untitled Placemark,572538.6761276104,4924276.925700755,1978
Untitled Placemark,572537.5179366336,4924307.779529382,1978
Untitled Placemark,572475.8028998727,4924296.43590059,1978
Untitled Placemark,572460.6079202396,4924176.9486329025,1978
Untitled Placemark,572409.4530939022,4924227.674080813,1978
Untitled Placemark,572483.7087325914,4924188.418591645,1978
Untitled Placemark,572500.8958077854,4924195.94885692,1978
Untitled Placemark,572631.0819993975,4924972.228707604,1978
Untitled Placemark,572584.1121320018,4924994.350675338,1978
Untitled Placemark,572568.1980683798,4925003.332366542,1978
Untitled Placemark,572408.4244148866,4924917.1319638565,1978
Untitled Placemark,573031.0201946399,4924947.538134276,1978
Untitled Placemark,573090.9323676977,4924861.532661489,1978
No Name,573125.4519079409,4924876.194795844,1978
Untitled Placemark,573135.9044276627,4924910.835099718,1978
Untitled Placemark,573176.2480329206,4924923.398225162,1978
Untitled Placemark,573278.5116488506,4924927.403863567,1978
Untitled Placemark,573312.6644969158,4924980.298364846,1978
Untitled Placemark,573342.4441029313,4925054.540532238,1978
Untitled Placemark,573398.2195272928,4925026.220860107,1978
Untitled Placemark,573307.3474244514,4925009.662192327,1978
Untitled Placemark,573305.9539825141,4925026.516807461,1978
Untitled Placemark,573270.5443122507,4925172.826763008,1978
Untitled Placemark,573276.9031137784,4925154.735867135,1978
Untitled Placemark,573282.0238380558,4925131.706709238,1978
Untitled Placemark,573296.1103456932,4925041.517445522,1978
Untitled Placemark,573253.5036920395,4925013.869310273,1978
Untitled Placemark,573237.1156466664,4925077.728524112,1978
Untitled Placemark,573232.0533623232,4925095.8801627895,1978
Untitled Placemark,573208.2935995974,4925038.848279349,1978
Untitled Placemark,573161.5346167317,4925019.741427747,1978
Untitled Placemark,573160.335757066,4925055.522226254,1978
Untitled Placemark,573090.1440009789,4925129.442133097,1978
Untitled Placemark,573089.9536520964,4925112.309054857,1978
Untitled Placemark,573108.6913580513,4925043.497118825,1978
Untitled Placemark,573109.9327791082,4924995.670611149,1978
Untitled Placemark,573174.8799498877,4924937.828441995,1978
Untitled Placemark,573284.781700555,4925392.904972603,1978
Untitled Placemark,573027.2451442492,4925145.228340658,1978
Untitled Placemark,572936.4505784998,4925076.391316903,1978
Untitled Placemark,572911.5890262556,4925010.0574874645,1978
Untitled Placemark,572869.692867083,4924975.9306996,1978
Untitled Placemark,572871.4050101344,4924946.198085078,1978
Untitled Placemark,572911.4567072678,4924813.50910607,1978
Untitled Placemark,572882.1272693424,4924746.535087533,1978
Untitled Placemark,573032.2609342238,4924778.084136365,1978
Untitled Placemark,573208.99338714,4924679.838067693,1978
Untitled Placemark,573274.9811982093,4924615.718623386,1978
Untitled Placemark,573174.8291829628,4925171.378699336,1978
Untitled Placemark,572973.4223182629,4924778.889190641,1978
Untitled Placemark,572984.0496430416,4924742.507028511,1978
Untitled Placemark,573085.1664413806,4924502.851719706,1978
Untitled Placemark,573155.4227994654,4924453.990221119,1978
Untitled Placemark,573394.8352459021,4924579.710372786,1978
Untitled Placemark,573084.7066042052,4924895.842120304,1978
Untitled Placemark,573172.184470981,4924546.669953786,1978
Untitled Placemark,573436.941040689,4925209.188138963,1978
Untitled Placemark,573446.7714437299,4925152.158963958,1978
Untitled Placemark,573505.2756410303,4925180.034990882,1978
Untitled Placemark,573540.9944041646,4925156.7563838465,1978
Untitled Placemark,573564.5379676167,4925148.2614397695,1978
Untitled Placemark,573550.6871205962,4925169.106693749,1978
Untitled Placemark,573491.45469485,4925495.498009858,1978
Untitled Placemark,573491.8318049166,4925460.275884211,1978
Untitled Placemark,573445.5606470786,4925455.036981524,1978
Untitled Placemark,572988.313785428,4924878.783782453,1978
Untitled Placemark,572180.518839445,4924689.017924448,1978
Untitled Placemark,572189.3652052653,4924673.3735778835,1978
Untitled Placemark,572293.2633431781,4924639.239589136,1978
Untitled Placemark,572224.0216792801,4924810.452231305,1978
Untitled Placemark,572485.8714851473,4924276.640165121,1978
Untitled Placemark,572581.8407731395,4924334.12365723,1978
Untitled Placemark,572502.7751176981,4924455.4036973845,1978
Untitled Placemark,572498.5094518159,4924471.856550679,1978
Untitled Placemark,572450.9007726503,4924444.469462943,1978
Untitled Placemark,572436.2660479713,4924526.918730111,1978
Untitled Placemark,573154.5884429207,4925222.543825614,1978
Untitled Placemark,573188.7025280964,4925128.451550782,1978
Untitled Placemark,573272.7179511964,4925187.702110804,1978
Untitled Placemark,573343.2057104992,4925172.376852432,1978
Untitled Placemark,573369.794775449,4925108.1971395295,1978
Untitled Placemark,573398.8316795495,4925120.460827427,1978
Untitled Placemark,573368.8433225587,4925064.04020677,1978
Untitled Placemark,573090.3111707318,4924744.289955085,1978
Untitled Placemark,573095.1905279573,4924724.021115515,1978
Untitled Placemark,573138.0685742085,4925128.240320144,1978
Untitled Placemark,573045.5135950043,4925058.216444656,1978
Untitled Placemark,572763.9264379283,4925097.366436185,1978
Untitled Placemark,572267.9081084579,4924422.263491933,1978
Untitled Placemark,572277.713739871,4924407.005121838,1978
Untitled Placemark,572300.50640469,4924367.716037341,1978
Untitled Placemark,572319.0206365135,4924327.027516572,1978
Untitled Placemark,572336.2990042338,4924300.991109095,1978
Untitled Placemark,572367.2012467273,4924295.402518805,1978
Untitled Placemark,572413.4071015383,4924863.1739609055,1978
Untitled Placemark,572730.2812372075,4925026.525527818,1978
Untitled Placemark,573017.7945875827,4925024.382478154,1978
Untitled Placemark,572960.9881340637,4925003.514972313,1978
Untitled Placemark,573243.4344218494,4925060.635668082,1978
Untitled Placemark,573466.1300142597,4925323.998070062,1978
Untitled Placemark,573535.2413668163,4925286.1803909065,1978
Untitled Placemark,573201.3677736792,4925397.793485243,1978
Untitled Placemark,573611.9098196311,4925706.623253734,1978
Untitled Placemark,573503.0462252202,4925555.82617824,1978
Untitled Placemark,572874.029238974,4924962.409056684,1978
